customer_id,service_id,quantity,timestamp,amount
1000,14,1,2023-09-15T15:18:30.136590,
1000,1,1,2023-09-15T15:19:00.136590,
1000,11,1,2023-09-15T15:19:30.136590,
1000,2,1,2023-09-15T15:20:00.136590,
1000,18,1,2023-09-15T15:20:30.136590,
1000,3,1,2023-10-29T15:18:30.109343,
1000,2,1,2023-10-29T15:19:00.109343,
1000,19,1,2023-10-29T15:19:30.109343,
1000,13,1,2023-10-29T15:20:00.109343,
1000,4,1,2023-10-29T15:20:30.109343,
1000,1,1,2025-02-27T15:18:30.142970,
1000,14,1,2025-02-27T15:19:00.142970,
1000,7,1,2025-02-27T15:19:30.142970,
1000,12,1,2025-02-27T15:20:00.142970,
1000,13,1,2025-02-27T15:20:30.142970,
1000,15,1,2025-03-26T15:18:30.138237,
1000,18,1,2025-03-26T15:19:00.138237,
1000,17,1,2025-03-26T15:19:30.138237,
1000,6,1,2025-03-26T15:20:00.138237,
1000,16,1,2025-03-26T15:20:30.138237,
1000,8,1,2025-05-04T15:18:30.199431,
1000,11,1,2025-05-04T15:19:00.199431,
1000,18,1,2025-05-04T15:19:30.199431,
1000,5,1,2025-05-04T15:20:00.199431,
1000,2,1,2025-05-04T15:20:30.199431,
1000,15,1,2023-12-23T15:18:30.172848,
1000,18,1,2023-12-23T15:19:00.172848,
1000,17,1,2023-12-23T15:19:30.172848,
1000,6,1,2023-12-23T15:20:00.172848,
1000,16,1,2023-12-23T15:20:30.172848,
1000,13,1,2023-12-30T15:18:30.146421,
1000,10,1,2023-12-30T15:19:00.146421,
1000,1,1,2023-12-30T15:19:30.146421,
1000,4,1,2023-12-30T15:20:00.146421,
1000,18,1,2023-12-30T15:20:30.146421,
1000,14,1,2024-01-06T15:18:30.160895,
1000,1,1,2024-01-06T15:19:00.160895,
1000,11,1,2024-01-06T15:19:30.160895,
1000,2,1,2024-01-06T15:20:00.160895,
1000,18,1,2024-01-06T15:20:30.160895,
1000,18,1,2024-02-22T15:18:30.165386,
1000,6,1,2024-02-22T15:19:00.165386,
1000,15,1,2024-02-22T15:19:30.165386,
1000,8,1,2024-02-22T15:20:00.165386,
1000,5,1,2024-02-22T15:20:30.165386,
1000,4,1,2024-04-25T15:18:30.140374,
1000,13,1,2024-04-25T15:19:00.140374,
1000,10,1,2024-04-25T15:19:30.140374,
1000,12,1,2024-04-25T15:20:00.140374,
1000,17,1,2024-04-25T15:20:30.140374,
1000,17,1,2024-08-22T15:18:30.108522,
1000,15,1,2024-08-22T15:19:00.108522,
1000,1,1,2024-08-22T15:19:30.108522,
1000,9,1,2024-08-22T15:20:00.108522,
1000,20,1,2024-08-22T15:20:30.108522,
1000,12,1,2024-11-14T15:18:30.120906,
1000,1,1,2024-11-14T15:19:00.120906,
1000,11,1,2024-11-14T15:19:30.120906,
1000,7,1,2024-11-14T15:20:00.120906,
1000,9,1,2024-11-14T15:20:30.120906,
1000,5,1,2025-01-06T15:18:30.184196,
1000,18,1,2025-01-06T15:19:00.184196,
1000,2,1,2025-01-06T15:19:30.184196,
1000,8,1,2025-01-06T15:20:00.184196,
1000,1,1,2025-01-06T15:20:30.184196,
1001,17,1,2023-04-27T15:18:30.155516,
